REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AE,2014-01,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,CLOSTLV,KBBL,0.0000,3
AE,2014-01,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2014-01,CRUDEOIL,CLOSTLV,KL,0.0000,3
AE,2014-01,CRUDEOIL,CLOSTLV,KTONS,0.0000,3
AE,2014-01,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,DIRECUSE,KBBL,527.0000,3
AE,2014-01,CRUDEOIL,DIRECUSE,KBD,17.0000,3
AE,2014-01,CRUDEOIL,DIRECUSE,KL,83.7864,3
AE,2014-01,CRUDEOIL,DIRECUSE,KTONS,69.3786,3
AE,2014-01,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,INDPROD,KBBL,92070.0000,1
AE,2014-01,CRUDEOIL,INDPROD,KBD,2970.0000,1
AE,2014-01,CRUDEOIL,INDPROD,KL,14637.9853,1
AE,2014-01,CRUDEOIL,INDPROD,KTONS,12120.8531,1
AE,2014-01,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2014-01,CRUDEOIL,OSOURCES,KBD,-,3
AE,2014-01,CRUDEOIL,OSOURCES,KL,-,3
AE,2014-01,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2014-01,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,REFINOBS,KBBL,14663.0000,3
AE,2014-01,CRUDEOIL,REFINOBS,KBD,473.0000,3
AE,2014-01,CRUDEOIL,REFINOBS,KL,2331.2347,3
AE,2014-01,CRUDEOIL,REFINOBS,KTONS,1930.3581,3
AE,2014-01,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,STATDIFF,KBBL,31.0000,3
AE,2014-01,CRUDEOIL,STATDIFF,KBD,1.0000,3
AE,2014-01,CRUDEOIL,STATDIFF,KL,4.9286,3
AE,2014-01,CRUDEOIL,STATDIFF,KTONS,4.0811,3
AE,2014-01,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2014-01,CRUDEOIL,STOCKCH,KBBL,1546.0000,3
AE,2014-01,CRUDEOIL,STOCKCH,KBD,x,3
