REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AE,2016-01,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,CLOSTLV,KBBL,2348.0000,3
AE,2016-01,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2016-01,CRUDEOIL,CLOSTLV,KL,373.3028,3
AE,2016-01,CRUDEOIL,CLOSTLV,KTONS,309.1101,3
AE,2016-01,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,DIRECUSE,KBBL,279.0000,3
AE,2016-01,CRUDEOIL,DIRECUSE,KBD,9.0000,3
AE,2016-01,CRUDEOIL,DIRECUSE,KL,44.3575,3
AE,2016-01,CRUDEOIL,DIRECUSE,KTONS,36.7299,3
AE,2016-01,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,INDPROD,KBBL,104439.0000,1
AE,2016-01,CRUDEOIL,INDPROD,KBD,3369.0000,1
AE,2016-01,CRUDEOIL,INDPROD,KL,16604.5025,1
AE,2016-01,CRUDEOIL,INDPROD,KTONS,13749.2101,1
AE,2016-01,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2016-01,CRUDEOIL,OSOURCES,KBD,-,3
AE,2016-01,CRUDEOIL,OSOURCES,KL,-,3
AE,2016-01,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2016-01,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,REFINOBS,KBBL,27373.0000,3
AE,2016-01,CRUDEOIL,REFINOBS,KBD,883.0000,3
AE,2016-01,CRUDEOIL,REFINOBS,KL,4351.9667,3
AE,2016-01,CRUDEOIL,REFINOBS,KTONS,3603.6072,3
AE,2016-01,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,STATDIFF,KBBL,62.0000,3
AE,2016-01,CRUDEOIL,STATDIFF,KBD,2.0000,3
AE,2016-01,CRUDEOIL,STATDIFF,KL,9.8572,3
AE,2016-01,CRUDEOIL,STATDIFF,KTONS,8.1622,3
AE,2016-01,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,STOCKCH,KBBL,116.0000,3
AE,2016-01,CRUDEOIL,STOCKCH,KBD,x,3
AE,2016-01,CRUDEOIL,STOCKCH,KL,18.4426,3
AE,2016-01,CRUDEOIL,STOCKCH,KTONS,15.2712,3
AE,2016-01,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,TOTEXPSB,KBBL,74431.0000,3
AE,2016-01,CRUDEOIL,TOTEXPSB,KBD,2401.0000,3
AE,2016-01,CRUDEOIL,TOTEXPSB,KL,11833.6036,3
AE,2016-01,CRUDEOIL,TOTEXPSB,KTONS,9798.7098,3
AE,2016-01,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,TOTIMPSB,KBBL,1178.0000,3
AE,2016-01,CRUDEOIL,TOTIMPSB,KBD,38.0000,3
AE,2016-01,CRUDEOIL,TOTIMPSB,KL,187.2874,3
AE,2016-01,CRUDEOIL,TOTIMPSB,KTONS,155.0816,3
AE,2016-01,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2016-01,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2016-01,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2016-01,CRUDEOIL,TRANSBAK,KL,-,3
AE,2016-01,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2016-02,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,CLOSTLV,KBBL,2293.0000,3
AE,2016-02,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2016-02,CRUDEOIL,CLOSTLV,KL,364.5585,3
AE,2016-02,CRUDEOIL,CLOSTLV,KTONS,301.8694,3
AE,2016-02,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,DIRECUSE,KBBL,435.0000,3
AE,2016-02,CRUDEOIL,DIRECUSE,KBD,15.0000,3
AE,2016-02,CRUDEOIL,DIRECUSE,KL,69.1596,3
AE,2016-02,CRUDEOIL,DIRECUSE,KTONS,57.2670,3
AE,2016-02,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,INDPROD,KBBL,87087.0000,1
AE,2016-02,CRUDEOIL,INDPROD,KBD,3003.0000,1
AE,2016-02,CRUDEOIL,INDPROD,KL,13845.7503,1
AE,2016-02,CRUDEOIL,INDPROD,KTONS,11464.8499,1
AE,2016-02,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2016-02,CRUDEOIL,OSOURCES,KBD,-,3
AE,2016-02,CRUDEOIL,OSOURCES,KL,-,3
AE,2016-02,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2016-02,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,REFINOBS,KBBL,25462.0000,3
AE,2016-02,CRUDEOIL,REFINOBS,KBD,878.0000,3
AE,2016-02,CRUDEOIL,REFINOBS,KL,4048.1414,3
AE,2016-02,CRUDEOIL,REFINOBS,KTONS,3352.0274,3
AE,2016-02,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,STATDIFF,KBBL,-348.0000,3
AE,2016-02,CRUDEOIL,STATDIFF,KBD,-12.0000,3
AE,2016-02,CRUDEOIL,STATDIFF,KL,-55.3277,3
AE,2016-02,CRUDEOIL,STATDIFF,KTONS,-45.8136,3
AE,2016-02,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,STOCKCH,KBBL,-55.0000,3
AE,2016-02,CRUDEOIL,STOCKCH,KBD,x,3
AE,2016-02,CRUDEOIL,STOCKCH,KL,-8.7443,3
AE,2016-02,CRUDEOIL,STOCKCH,KTONS,-7.2407,3
AE,2016-02,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,TOTEXPSB,KBBL,67657.0000,3
AE,2016-02,CRUDEOIL,TOTEXPSB,KBD,2333.0000,3
AE,2016-02,CRUDEOIL,TOTEXPSB,KL,10756.6218,3
AE,2016-02,CRUDEOIL,TOTEXPSB,KTONS,8906.9247,3
AE,2016-02,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,TOTIMPSB,KBBL,2059.0000,3
AE,2016-02,CRUDEOIL,TOTIMPSB,KBD,71.0000,3
AE,2016-02,CRUDEOIL,TOTIMPSB,KL,327.3554,3
AE,2016-02,CRUDEOIL,TOTIMPSB,KTONS,271.0637,3
AE,2016-02,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2016-02,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2016-02,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2016-02,CRUDEOIL,TRANSBAK,KL,-,3
AE,2016-02,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2016-03,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,CLOSTLV,KBBL,2466.0000,3
AE,2016-03,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2016-03,CRUDEOIL,CLOSTLV,KL,392.0633,3
AE,2016-03,CRUDEOIL,CLOSTLV,KTONS,324.6445,3
AE,2016-03,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,DIRECUSE,KBBL,527.0000,3
AE,2016-03,CRUDEOIL,DIRECUSE,KBD,17.0000,3
AE,2016-03,CRUDEOIL,DIRECUSE,KL,83.7864,3
AE,2016-03,CRUDEOIL,DIRECUSE,KTONS,69.3786,3
AE,2016-03,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,INDPROD,KBBL,97061.0000,1
AE,2016-03,CRUDEOIL,INDPROD,KBD,3131.0000,1
AE,2016-03,CRUDEOIL,INDPROD,KL,15431.4923,1
AE,2016-03,CRUDEOIL,INDPROD,KTONS,12777.9094,1
AE,2016-03,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2016-03,CRUDEOIL,OSOURCES,KBD,-,3
AE,2016-03,CRUDEOIL,OSOURCES,KL,-,3
AE,2016-03,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2016-03,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,REFINOBS,KBBL,23281.0000,3
AE,2016-03,CRUDEOIL,REFINOBS,KBD,751.0000,3
AE,2016-03,CRUDEOIL,REFINOBS,KL,3701.3896,3
AE,2016-03,CRUDEOIL,REFINOBS,KTONS,3064.9026,3
AE,2016-03,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,STATDIFF,KBBL,-434.0000,3
AE,2016-03,CRUDEOIL,STATDIFF,KBD,-14.0000,3
AE,2016-03,CRUDEOIL,STATDIFF,KL,-69.0006,3
AE,2016-03,CRUDEOIL,STATDIFF,KTONS,-57.1353,3
AE,2016-03,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,STOCKCH,KBBL,173.0000,3
AE,2016-03,CRUDEOIL,STOCKCH,KBD,x,3
AE,2016-03,CRUDEOIL,STOCKCH,KL,27.5048,3
AE,2016-03,CRUDEOIL,STOCKCH,KTONS,22.7751,3
AE,2016-03,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,TOTEXPSB,KBBL,78089.0000,3
AE,2016-03,CRUDEOIL,TOTEXPSB,KBD,2519.0000,3
AE,2016-03,CRUDEOIL,TOTEXPSB,KL,12415.1801,3
AE,2016-03,CRUDEOIL,TOTEXPSB,KTONS,10280.2791,3
AE,2016-03,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,TOTIMPSB,KBBL,1922.0000,3
AE,2016-03,CRUDEOIL,TOTIMPSB,KBD,62.0000,3
AE,2016-03,CRUDEOIL,TOTIMPSB,KL,305.5741,3
AE,2016-03,CRUDEOIL,TOTIMPSB,KTONS,253.0279,3
AE,2016-03,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2016-03,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2016-03,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2016-03,CRUDEOIL,TRANSBAK,KL,-,3
AE,2016-03,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2016-04,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2016-04,CRUDEOIL,CLOSTLV,KBBL,1787.0000,3
AE,2016-04,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2016-04,CRUDEOIL,CLOSTLV,KL,284.1108,3
AE,2016-04,CRUDEOIL,CLOSTLV,KTONS,235.2554,3
AE,2016-04,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2016-04,CRUDEOIL,DIRECUSE,KBBL,450.0000,3
AE,2016-04,CRUDEOIL,DIRECUSE,KBD,15.0000,3
AE,2016-04,CRUDEOIL,DIRECUSE,KL,71.5444,3
AE,2016-04,CRUDEOIL,DIRECUSE,KTONS,59.2417,3
AE,2016-04,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2016-04,CRUDEOIL,INDPROD,KBBL,91200.0000,1
AE,2016-04,CRUDEOIL,INDPROD,KBD,3040.0000,1
AE,2016-04,CRUDEOIL,INDPROD,KL,14499.6661,1
AE,2016-04,CRUDEOIL,INDPROD,KTONS,12006.3191,1
AE,2016-04,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2016-04,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2016-04,CRUDEOIL,OSOURCES,KBD,-,3
AE,2016-04,CRUDEOIL,OSOURCES,KL,-,3
AE,2016-04,CRUDEOIL,OSOURCES,KTONS,-,3
