REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AE,2012-01,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2012-01,CRUDEOIL,CLOSTLV,KBBL,0.0000,3
AE,2012-01,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2012-01,CRUDEOIL,CLOSTLV,KL,0.0000,3
AE,2012-01,CRUDEOIL,CLOSTLV,KTONS,0.0000,3
AE,2012-01,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2012-01,CRUDEOIL,DIRECUSE,KBBL,0.0000,3
AE,2012-01,CRUDEOIL,DIRECUSE,KBD,0.0000,3
AE,2012-01,CRUDEOIL,DIRECUSE,KL,0.0000,3
AE,2012-01,CRUDEOIL,DIRECUSE,KTONS,0.0000,3
AE,2012-01,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2012-01,CRUDEOIL,INDPROD,KBBL,78151.0000,1
AE,2012-01,CRUDEOIL,INDPROD,KBD,2521.0000,1
AE,2012-01,CRUDEOIL,INDPROD,KL,12425.0374,1
AE,2012-01,CRUDEOIL,INDPROD,KTONS,10288.4413,1
AE,2012-01,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2012-01,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2012-01,CRUDEOIL,OSOURCES,KBD,-,3
AE,2012-01,CRUDEOIL,OSOURCES,KL,-,3
AE,2012-01,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2012-01,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2012-01,CRUDEOIL,REFINOBS,KBBL,6913.0000,3
AE,2012-01,CRUDEOIL,REFINOBS,KBD,223.0000,3
AE,2012-01,CRUDEOIL,REFINOBS,KL,1099.0811,3
AE,2012-01,CRUDEOIL,REFINOBS,KTONS,910.0843,3
AE,2012-01,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
