REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AE,2018-01,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,CLOSTLV,KBBL,2534.0000,3
AE,2018-01,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2018-01,CRUDEOIL,CLOSTLV,KL,402.8745,3
AE,2018-01,CRUDEOIL,CLOSTLV,KTONS,333.5966,3
AE,2018-01,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,DIRECUSE,KBBL,1984.0000,3
AE,2018-01,CRUDEOIL,DIRECUSE,KBD,64.0000,3
AE,2018-01,CRUDEOIL,DIRECUSE,KL,315.4313,3
AE,2018-01,CRUDEOIL,DIRECUSE,KTONS,261.1901,3
AE,2018-01,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,INDPROD,KBBL,94767.0000,1
AE,2018-01,CRUDEOIL,INDPROD,KBD,3057.0000,1
AE,2018-01,CRUDEOIL,INDPROD,KL,15066.7748,1
AE,2018-01,CRUDEOIL,INDPROD,KTONS,12475.9084,1
AE,2018-01,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2018-01,CRUDEOIL,OSOURCES,KBD,-,3
AE,2018-01,CRUDEOIL,OSOURCES,KL,-,3
AE,2018-01,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2018-01,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,REFINOBS,KBBL,28985.0000,3
AE,2018-01,CRUDEOIL,REFINOBS,KBD,935.0000,3
AE,2018-01,CRUDEOIL,REFINOBS,KL,4608.2546,3
AE,2018-01,CRUDEOIL,REFINOBS,KTONS,3815.8241,3
AE,2018-01,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,STATDIFF,KBBL,-4061.0000,3
AE,2018-01,CRUDEOIL,STATDIFF,KBD,-131.0000,3
AE,2018-01,CRUDEOIL,STATDIFF,KL,-645.6485,3
AE,2018-01,CRUDEOIL,STATDIFF,KTONS,-534.6235,3
AE,2018-01,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,STOCKCH,KBBL,3358.0000,3
AE,2018-01,CRUDEOIL,STOCKCH,KBD,x,3
AE,2018-01,CRUDEOIL,STOCKCH,KL,533.8803,3
AE,2018-01,CRUDEOIL,STOCKCH,KTONS,442.0748,3
AE,2018-01,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,TOTEXPSB,KBBL,66402.0000,3
AE,2018-01,CRUDEOIL,TOTEXPSB,KBD,2142.0000,3
AE,2018-01,CRUDEOIL,TOTEXPSB,KL,10557.0924,3
AE,2018-01,CRUDEOIL,TOTEXPSB,KTONS,8741.7062,3
AE,2018-01,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,TOTIMPSB,KBBL,1860.0000,3
AE,2018-01,CRUDEOIL,TOTIMPSB,KBD,60.0000,3
AE,2018-01,CRUDEOIL,TOTIMPSB,KL,295.7169,3
AE,2018-01,CRUDEOIL,TOTIMPSB,KTONS,244.8657,3
AE,2018-01,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2018-01,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2018-01,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2018-01,CRUDEOIL,TRANSBAK,KL,-,3
AE,2018-01,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2018-02,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,CLOSTLV,KBBL,2638.0000,3
AE,2018-02,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2018-02,CRUDEOIL,CLOSTLV,KL,419.4092,3
AE,2018-02,CRUDEOIL,CLOSTLV,KTONS,347.2880,3
AE,2018-02,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,DIRECUSE,KBBL,2212.0000,3
AE,2018-02,CRUDEOIL,DIRECUSE,KBD,79.0000,3
AE,2018-02,CRUDEOIL,DIRECUSE,KL,351.6805,3
AE,2018-02,CRUDEOIL,DIRECUSE,KTONS,291.2059,3
AE,2018-02,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,INDPROD,KBBL,82740.0000,1
AE,2018-02,CRUDEOIL,INDPROD,KBD,2955.0000,1
AE,2018-02,CRUDEOIL,INDPROD,KL,13154.6313,1
AE,2018-02,CRUDEOIL,INDPROD,KTONS,10892.5750,1
AE,2018-02,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2018-02,CRUDEOIL,OSOURCES,KBD,-,3
AE,2018-02,CRUDEOIL,OSOURCES,KL,-,3
AE,2018-02,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2018-02,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,REFINOBS,KBBL,26432.0000,3
AE,2018-02,CRUDEOIL,REFINOBS,KBD,944.0000,3
AE,2018-02,CRUDEOIL,REFINOBS,KL,4202.3594,3
AE,2018-02,CRUDEOIL,REFINOBS,KTONS,3479.7262,3
AE,2018-02,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,STATDIFF,KBBL,4256.0000,3
AE,2018-02,CRUDEOIL,STATDIFF,KBD,152.0000,3
AE,2018-02,CRUDEOIL,STATDIFF,KL,676.6511,3
AE,2018-02,CRUDEOIL,STATDIFF,KTONS,560.2949,3
AE,2018-02,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,STOCKCH,KBBL,-4178.0000,3
AE,2018-02,CRUDEOIL,STOCKCH,KBD,x,3
AE,2018-02,CRUDEOIL,STOCKCH,KL,-664.2501,3
AE,2018-02,CRUDEOIL,STOCKCH,KTONS,-550.0263,3
AE,2018-02,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,TOTEXPSB,KBBL,60928.0000,3
AE,2018-02,CRUDEOIL,TOTEXPSB,KBD,2176.0000,3
AE,2018-02,CRUDEOIL,TOTEXPSB,KL,9686.7945,3
AE,2018-02,CRUDEOIL,TOTEXPSB,KTONS,8021.0637,3
AE,2018-02,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,TOTIMPSB,KBBL,2464.0000,3
AE,2018-02,CRUDEOIL,TOTIMPSB,KBD,88.0000,3
AE,2018-02,CRUDEOIL,TOTIMPSB,KL,391.7454,3
AE,2018-02,CRUDEOIL,TOTIMPSB,KTONS,324.3813,3
AE,2018-02,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2018-02,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2018-02,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2018-02,CRUDEOIL,TRANSBAK,KL,-,3
AE,2018-02,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2018-03,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2018-03,CRUDEOIL,CLOSTLV,KBBL,1912.0000,3
AE,2018-03,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2018-03,CRUDEOIL,CLOSTLV,KL,303.9842,3
AE,2018-03,CRUDEOIL,CLOSTLV,KTONS,251.7114,3
AE,2018-03,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2018-03,CRUDEOIL,DIRECUSE,KBBL,1550.0000,3
AE,2018-03,CRUDEOIL,DIRECUSE,KBD,50.0000,3
AE,2018-03,CRUDEOIL,DIRECUSE,KL,246.4307,3
AE,2018-03,CRUDEOIL,DIRECUSE,KTONS,204.0548,3
AE,2018-03,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2018-03,CRUDEOIL,INDPROD,KBBL,95325.0000,1
AE,2018-03,CRUDEOIL,INDPROD,KBD,3075.0000,1
AE,2018-03,CRUDEOIL,INDPROD,KL,15155.4898,1
AE,2018-03,CRUDEOIL,INDPROD,KTONS,12549.3681,1
AE,2018-03,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2018-03,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2018-03,CRUDEOIL,OSOURCES,KBD,-,3
AE,2018-03,CRUDEOIL,OSOURCES,KL,-,3
AE,2018-03,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2018-03,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2018-03,CRUDEOIL,REFINOBS,KBBL,49476.0000,3
AE,2018-03,CRUDEOIL,REFINOBS,KBD,1596.0000,3
