REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
AE,2017-01,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,CLOSTLV,KBBL,1543.0000,3
AE,2017-01,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2017-01,CRUDEOIL,CLOSTLV,KL,245.3178,3
AE,2017-01,CRUDEOIL,CLOSTLV,KTONS,203.1332,3
AE,2017-01,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,DIRECUSE,KBBL,1612.0000,3
AE,2017-01,CRUDEOIL,DIRECUSE,KBD,52.0000,3
AE,2017-01,CRUDEOIL,DIRECUSE,KL,256.2880,3
AE,2017-01,CRUDEOIL,DIRECUSE,KTONS,212.2170,3
AE,2017-01,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,INDPROD,KBBL,101432.0000,1
AE,2017-01,CRUDEOIL,INDPROD,KBD,3272.0000,1
AE,2017-01,CRUDEOIL,INDPROD,KL,16126.4269,1
AE,2017-01,CRUDEOIL,INDPROD,KTONS,13353.3439,1
AE,2017-01,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2017-01,CRUDEOIL,OSOURCES,KBD,-,3
AE,2017-01,CRUDEOIL,OSOURCES,KL,-,3
AE,2017-01,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2017-01,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,REFINOBS,KBBL,22444.0000,3
AE,2017-01,CRUDEOIL,REFINOBS,KBD,724.0000,3
AE,2017-01,CRUDEOIL,REFINOBS,KL,3568.3170,3
AE,2017-01,CRUDEOIL,REFINOBS,KTONS,2954.7130,3
AE,2017-01,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,STATDIFF,KBBL,-93.0000,3
AE,2017-01,CRUDEOIL,STATDIFF,KBD,-3.0000,3
AE,2017-01,CRUDEOIL,STATDIFF,KL,-14.7858,3
AE,2017-01,CRUDEOIL,STATDIFF,KTONS,-12.2433,3
AE,2017-01,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,STOCKCH,KBBL,2086.0000,3
AE,2017-01,CRUDEOIL,STOCKCH,KBD,x,3
AE,2017-01,CRUDEOIL,STOCKCH,KL,331.6481,3
AE,2017-01,CRUDEOIL,STOCKCH,KTONS,274.6182,3
AE,2017-01,CRUDEOIL,TOTEXPSB,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,TOTEXPSB,KBBL,76880.0000,3
AE,2017-01,CRUDEOIL,TOTEXPSB,KBD,2480.0000,3
AE,2017-01,CRUDEOIL,TOTEXPSB,KL,12222.9642,3
AE,2017-01,CRUDEOIL,TOTEXPSB,KTONS,10121.1164,3
AE,2017-01,CRUDEOIL,TOTIMPSB,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,TOTIMPSB,KBBL,1519.0000,3
AE,2017-01,CRUDEOIL,TOTIMPSB,KBD,49.0000,3
AE,2017-01,CRUDEOIL,TOTIMPSB,KL,241.5021,3
AE,2017-01,CRUDEOIL,TOTIMPSB,KTONS,199.9737,3
AE,2017-01,CRUDEOIL,TRANSBAK,CONVBBL,7596.0000,3
AE,2017-01,CRUDEOIL,TRANSBAK,KBBL,-,3
AE,2017-01,CRUDEOIL,TRANSBAK,KBD,-,3
AE,2017-01,CRUDEOIL,TRANSBAK,KL,-,3
AE,2017-01,CRUDEOIL,TRANSBAK,KTONS,-,3
AE,2017-02,CRUDEOIL,CLOSTLV,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,CLOSTLV,KBBL,1940.0000,3
AE,2017-02,CRUDEOIL,CLOSTLV,KBD,x,3
AE,2017-02,CRUDEOIL,CLOSTLV,KL,308.4359,3
AE,2017-02,CRUDEOIL,CLOSTLV,KTONS,255.3976,3
AE,2017-02,CRUDEOIL,DIRECUSE,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,DIRECUSE,KBBL,392.0000,3
AE,2017-02,CRUDEOIL,DIRECUSE,KBD,14.0000,3
AE,2017-02,CRUDEOIL,DIRECUSE,KL,62.3231,3
AE,2017-02,CRUDEOIL,DIRECUSE,KTONS,51.6061,3
AE,2017-02,CRUDEOIL,INDPROD,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,INDPROD,KBBL,88928.0000,1
AE,2017-02,CRUDEOIL,INDPROD,KBD,3176.0000,1
AE,2017-02,CRUDEOIL,INDPROD,KL,14138.4464,1
AE,2017-02,CRUDEOIL,INDPROD,KTONS,11707.2143,1
AE,2017-02,CRUDEOIL,OSOURCES,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,OSOURCES,KBBL,-,3
AE,2017-02,CRUDEOIL,OSOURCES,KBD,-,3
AE,2017-02,CRUDEOIL,OSOURCES,KL,-,3
AE,2017-02,CRUDEOIL,OSOURCES,KTONS,-,3
AE,2017-02,CRUDEOIL,REFINOBS,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,REFINOBS,KBBL,21168.0000,3
AE,2017-02,CRUDEOIL,REFINOBS,KBD,756.0000,3
AE,2017-02,CRUDEOIL,REFINOBS,KL,3365.4488,3
AE,2017-02,CRUDEOIL,REFINOBS,KTONS,2786.7299,3
AE,2017-02,CRUDEOIL,STATDIFF,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,STATDIFF,KBBL,-8092.0000,3
AE,2017-02,CRUDEOIL,STATDIFF,KBD,-289.0000,3
AE,2017-02,CRUDEOIL,STATDIFF,KL,-1286.5274,3
AE,2017-02,CRUDEOIL,STATDIFF,KTONS,-1065.2975,3
AE,2017-02,CRUDEOIL,STOCKCH,CONVBBL,7596.0000,3
AE,2017-02,CRUDEOIL,STOCKCH,KBBL,1621.0000,3
AE,2017-02,CRUDEOIL,STOCKCH,KBD,x,3
AE,2017-02,CRUDEOIL,STOCKCH,KL,257.7188,3
AE,2017-02,CRUDEOIL,STOCKCH,KTONS,213.4018,3
